Symbol,,Date,Prev Close,Open Price,High Price,Low Price
HINDUNILVR,,20-Dec-19,1951.1,1950,1959.9,1931.45
HINDUNILVR,,23-Dec-19,1943.1,1949.25,1962,1944.4
HINDUNILVR,,24-Dec-19,1950.4,1952,1964.8,1940.4
HINDUNILVR,,26-Dec-19,1946.4,1950.8,1954.25,1938.5
HINDUNILVR,,27-Dec-19,1944.95,1946.9,1954.45,1934
HINDUNILVR,,30-Dec-19,1949.9,1949.9,1954.25,1927.5
HINDUNILVR,,31-Dec-19,1937.25,1940,1946.6,1920.1
HINDUNILVR,,01-Jan-20,1923,1930,1939.9,1918
HINDUNILVR,,02-Jan-20,1936.55,1940,1952.6,1930
HINDUNILVR,,03-Jan-20,1938.05,1937.9,1940,1918.75
HINDUNILVR,,06-Jan-20,1927.45,1927.35,1929.4,1911.25
HINDUNILVR,,07-Jan-20,1915.45,1919.25,1931,1918
HINDUNILVR,,08-Jan-20,1920.7,1910,1936.05,1906.45
HINDUNILVR,,09-Jan-20,1929.35,1941.55,1947.3,1931
HINDUNILVR,,10-Jan-20,1935.05,1940.9,1957.5,1931.65
HINDUNILVR,,13-Jan-20,1954,1961,1997.85,1957
HINDUNILVR,,14-Jan-20,1994.85,1995.5,2014.95,1982.4
HINDUNILVR,,15-Jan-20,2008.8,2011.15,2027,1997.35
HINDUNILVR,,16-Jan-20,2021.65,2022,2054.7,2016.1
HINDUNILVR,,17-Jan-20,2049.25,2055,2063.9,2040.05
HINDUNILVR,,20-Jan-20,2060.3,2060.5,2075.9,2050
HINDUNILVR,,21-Jan-20,2062.85,2059.75,2075,2052.15
HINDUNILVR,,22-Jan-20,2055.4,2063,2063.5,2027.2
HINDUNILVR,,23-Jan-20,2051.7,2051.75,2060.85,2035
HINDUNILVR,,24-Jan-20,2056.9,2057,2079,2050.05
HINDUNILVR,,27-Jan-20,2073.7,2066,2068.75,2056.75
HINDUNILVR,,28-Jan-20,2061.35,2062,2065,2042.7
HINDUNILVR,,29-Jan-20,2060.6,2062.05,2085.8,2062.05
HINDUNILVR,,30-Jan-20,2074.2,2074.9,2078,2049.45
HINDUNILVR,,31-Jan-20,2058.1,2064,2068.25,2020.05
HINDUNILVR,,01-Feb-20,2034.25,2049.35,2096,2030.05
HINDUNILVR,,03-Feb-20,2074.9,2074.9,2195.55,2074.9
HINDUNILVR,,04-Feb-20,2178.95,2177,2204.2,2140
HINDUNILVR,,05-Feb-20,2155.6,2167.4,2184,2153.9
HINDUNILVR,,06-Feb-20,2160.3,2166,2196.25,2134.05
HINDUNILVR,,07-Feb-20,2156.4,2165,2172,2141.6
HINDUNILVR,,10-Feb-20,2159.95,2160.1,2189.55,2151.7
HINDUNILVR,,11-Feb-20,2159.3,2169,2179.65,2147.7
HINDUNILVR,,12-Feb-20,2152.65,2157.1,2272,2155
HINDUNILVR,,13-Feb-20,2260.35,2256,2288.95,2233.05
HINDUNILVR,,14-Feb-20,2283.4,2273,2297.6,2246.25
HINDUNILVR,,17-Feb-20,2255.05,2248,2289,2243.2
HINDUNILVR,,18-Feb-20,2252.6,2252.6,2262.95,2222.1
HINDUNILVR,,19-Feb-20,2234.4,2250.2,2308.2,2241.25
